Subject,Start Date,Start Time,End Date,End Time,Description,Location
wyk - Aula B,29/11/2018,09:50,29/11/2018,11:30,dr Lubicz-Posochowska Aleksandra,418 A
wyk - Prawo reklamy,29/11/2018,11:40,29/11/2018,13:20,dr Kozlowska-Makos Danuta,214 B
cwi - Planowanie finansowe,29/11/2018,13:30,29/11/2018,15:10,mgr Sygut Edyta,227 A
cwi - Instrumenty opodatkowania posredniego ludnosci i podmiotow gospodarczych,29/11/2018,15:20,29/11/2018,17:00,dr Emerling Izabela,undefined
wyk - Aula A,30/11/2018,08:00,30/11/2018,09:40,dr Jarczok-Guzy Magdalena,213 B
wyk - Instrumenty opodatkowania posredniego ludnosci i podmiotow gospodarczych,30/11/2018,09:50,30/11/2018,11:30,dr Ciupek Bozena,411 A
cwi - Aula A,30/11/2018,11:40,30/11/2018,13:20,mgr Swiatek L「kasz,undefined
cwi - Instrumenty opodatkowania bezposredniego ludnosci i podmiotow gospodarczych,30/11/2018,15:20,30/11/2018,17:00,dr Emerling Izabela,undefined
"undefined - Projekt: ""Blisko-Miedzynarodowo-Przez cale zycie,04/12/2018,08:00,04/12/2018,18:50,n/z n/z,n/z"
wyk - Aula A,05/12/2018,08:00,05/12/2018,09:40,prof. dr hab. Buk Halina,412 A
wyk - Sprawozdawczosc finansowa,05/12/2018,13:30,05/12/2018,15:10,dr Poniatowska Lucyna,undefined
cwi - Instrumenty opodatkowania posredniego ludnosci i podmiotow gospodarczych,06/12/2018,13:30,06/12/2018,15:10,mgr Sygut Edyta,214 B
cwi - Sprawozdawczosc finansowa,06/12/2018,15:20,06/12/2018,17:00,dr Emerling Izabela,227 A
wyk - Aula A,07/12/2018,08:00,07/12/2018,09:40,dr Jarczok-Guzy Magdalena,213 B
wyk - Instrumenty opodatkowania posredniego ludnosci i podmiotow gospodarczych,07/12/2018,09:50,07/12/2018,11:30,dr Ciupek Bozena,undefined
cwi - Aula A,07/12/2018,11:40,07/12/2018,13:20,mgr Swiatek L「kasz,undefined
wyk - Prawo instrumentow finansowych,10/12/2018,15:20,10/12/2018,17:00,prof. UE dr hab. Witosz Aleksander,228 A
"undefined - Projekt: ""Blisko-Miedzynarodowo-Przez cale zycie,11/12/2018,08:00,11/12/2018,18:50,n/z n/z,n/z"
wyk - Aula A,12/12/2018,08:00,12/12/2018,09:40,prof. dr hab. Buk Halina,233 F
wyk - Sprawozdawczosc finansowa,12/12/2018,09:50,12/12/2018,11:30,prof. dr hab. Buk Halina,412 A
wyk - Analiza finansowa,12/12/2018,11:40,12/12/2018,13:20,prof. dr hab. Harasim Janina,335 A
wyk - Aula A,12/12/2018,13:30,12/12/2018,15:10,prof. UE dr hab. Koczur Wieslaw,undefined
wyk - Finanse miﾄ囘zynarodowe,12/12/2018,15:20,12/12/2018,17:00,prof. UE dr hab. Pfaff Jozef,undefined
wyk - Aula B,13/12/2018,09:50,13/12/2018,11:30,dr Lubicz-Posochowska Aleksandra,418 A
wyk - Prawo reklamy,13/12/2018,11:40,13/12/2018,13:20,dr Kozlowska-Makos Danuta,214 B
cwi - Planowanie finansowe,13/12/2018,13:30,13/12/2018,15:10,mgr Sygut Edyta,227 A
cwi - Instrumenty opodatkowania posredniego ludnosci i podmiotow gospodarczych,13/12/2018,15:20,13/12/2018,17:00,dr Emerling Izabela,undefined
wyk - Aula A,14/12/2018,08:00,14/12/2018,09:40,dr Jarczok-Guzy Magdalena,213 B
wyk - Instrumenty opodatkowania posredniego ludnosci i podmiotow gospodarczych,14/12/2018,09:50,14/12/2018,11:30,dr Ciupek Bozena,411 A
cwi - Aula A,14/12/2018,11:40,14/12/2018,13:20,mgr Swiatek L「kasz,undefined
cwi - Instrumenty opodatkowania bezposredniego ludnosci i podmiotow gospodarczych,14/12/2018,15:20,14/12/2018,17:00,dr Emerling Izabela,undefined
"undefined - Projekt: ""Blisko-Miedzynarodowo-Przez cale zycie,18/12/2018,08:00,18/12/2018,18:50,n/z n/z,n/z"
wyk - Aula A,19/12/2018,08:00,19/12/2018,09:40,prof. dr hab. Buk Halina,412 A
wyk - Sprawozdawczosc finansowa,19/12/2018,09:50,19/12/2018,11:30,prof. dr hab. Buk Halina,undefined
wyk - Aula @,19/12/2018,11:40,19/12/2018,13:20,prof. dr hab. Harasim Janina,undefined
wyk - Analiza finansowa,19/12/2018,13:30,19/12/2018,15:10,dr Poniatowska Lucyna,undefined
cwi - Instrumenty opodatkowania posredniego ludnosci i podmiotow gospodarczych,20/12/2018,13:30,20/12/2018,15:10,mgr Sygut Edyta,214 B
cwi - Sprawozdawczosc finansowa,20/12/2018,15:20,20/12/2018,17:00,dr Emerling Izabela,227 A
wyk - Aula A,21/12/2018,08:00,21/12/2018,09:40,dr Jarczok-Guzy Magdalena,213 B
wyk - Instrumenty opodatkowania posredniego ludnosci i podmiotow gospodarczych,21/12/2018,09:50,21/12/2018,11:30,dr Ciupek Bozena,undefined
cwi - Aula A,21/12/2018,11:40,21/12/2018,13:20,mgr Swiatek L「kasz,undefined
wyk - Prawo instrumentow finansowych,07/01/2019,15:20,07/01/2019,17:00,prof. UE dr hab. Witosz Aleksander,228 A
"undefined - Projekt: ""Blisko-Miedzynarodowo-Przez cale zycie,08/01/2019,08:00,08/01/2019,18:50,n/z n/z,n/z"
wyk - Aula A,09/01/2019,08:00,09/01/2019,09:40,prof. dr hab. Buk Halina,412 A
wyk - Sprawozdawczosc finansowa,09/01/2019,09:50,09/01/2019,11:30,prof. dr hab. Buk Halina,335 A
wyk - Aula @,09/01/2019,11:40,09/01/2019,13:20,prof. dr hab. Harasim Janina,undefined
wyk - Analiza finansowa,09/01/2019,13:30,09/01/2019,15:10,prof. UE dr hab. Koczur Wieslaw,undefined
wyk - Aula A,09/01/2019,15:20,09/01/2019,17:00,prof. UE dr hab. Pfaff Jozef,undefined
wyk - Aula B,10/01/2019,09:50,10/01/2019,11:30,dr Lubicz-Posochowska Aleksandra,418 A
wyk - Prawo reklamy,10/01/2019,13:30,10/01/2019,15:10,dr Kozlowska-Makos Danuta,418 A
wyk - 11:40-13:,10/01/2019,15:20,10/01/2019,17:00,dr Kozlowska-Makos Danuta,214 B
wyk - Aula B,11/01/2019,08:00,11/01/2019,09:40,dr Jarczok-Guzy Magdalena,213 B
wyk - Instrumenty opodatkowania posredniego ludnosci i podmiotow gospodarczych,11/01/2019,09:50,11/01/2019,11:30,dr Ciupek Bozena,332 A
cwi - Aula B,11/01/2019,11:40,11/01/2019,13:20,mgr Swiatek L「kasz,undefined
cwi - Instrumenty opodatkowania bezposredniego ludnosci i podmiotow gospodarczych,11/01/2019,15:20,11/01/2019,17:00,dr Emerling Izabela,undefined
"undefined - Projekt: ""Blisko-Miedzynarodowo-Przez cale zycie,15/01/2019,08:00,15/01/2019,18:50,n/z n/z,n/z"
